date,volume,high,low,adj_close,close,open
2020-01-31,1.05947e+07,27.52,26.59,26.84,26.84,27.5
2020-01-30,9572859,27.79,26.26,27.72,27.72,26.3
2020-01-29,8838400,27.49,26.74,26.8,26.8,26.88
2020-01-28,1.12834e+07,27.115,26.2601,26.9,26.9,26.36
2020-01-27,2.064835e+07,26.6,25.37,26.11,26.11,26.57
2020-01-24,1.77798e+07,28.855,27.01,27.64,27.64,28.85
2020-01-23,2.323262e+07,28.99,26.04,28.8,28.8,27.39
2020-01-22,9595264,27.91,27.3,27.32,27.32,27.51
2020-01-21,1.57888e+07,27.99,27.055,27.2,27.2,27.97
2020-01-17,6368163,28.72,28.07,28.4,28.4,28.3
2020-01-16,6308911,28.26,27.77,28.23,28.23,27.79
2020-01-15,5556969,28.06,27.32,27.58,27.58,27.45
2020-01-14,8656409,28.4,27.35,27.53,27.53,27.91
2020-01-13,5612896,27.53,27.155,27.39,27.39,27.32
2020-01-10,7381753,27.96,27.25,27.32,27.32,27.96
2020-01-09,6162134,28.23,27.71,27.95,27.95,28.09
2020-01-08,1.019789e+07,28.09,27.07,27.84,27.84,27.1
2020-01-07,5975307,27.68,27.06,27.22,27.22,27.56
2020-01-06,5816522,27.49,27.08,27.32,27.32,27.19
2020-01-03,1.375142e+07,28.29,27.34,27.65,27.65,28.27
2020-01-02,5262423,29.29,28.65,29.09,29.09,28.98
