date,volume,high,low,adj_close,close,open
2020-01-31,4.62548e+07,322.68,308.29,309.51,309.51,320.93
2020-01-30,3.081504e+07,324.09,318.75,323.87,323.87,320.543
2020-01-29,5.300278e+07,327.85,321.38,324.34,324.34,324.45
2020-01-28,3.23958e+07,318.4,312.19,317.69,317.69,312.6
2020-01-27,3.643112e+07,311.76,305.89,308.95,308.95,310.06
2020-01-24,3.399541e+07,323.32,317.53,318.31,318.31,320.25
2020-01-23,2.070243e+07,319.56,315.65,319.23,319.23,317.92
2020-01-22,2.446607e+07,319.99,317.31,317.7,317.7,318.58
2020-01-21,2.224074e+07,319.02,316.02,316.57,316.57,317.19
2020-01-17,3.18236e+07,318.74,315.06,318.73,318.73,316.27
2020-01-16,2.524205e+07,315.62,312.09,315.24,315.24,313.59
2020-01-15,2.964764e+07,315.5,309.55,311.34,311.34,311.85
2020-01-14,3.927996e+07,317.565,312.17,312.68,312.68,316.7
2020-01-13,2.93604e+07,317.07,311.15,316.96,316.96,311.64
2020-01-10,3.448811e+07,312.67,308.25,310.33,310.33,310.6
2020-01-09,3.945056e+07,310.43,306.2,309.63,309.63,307.235
2020-01-08,3.225088e+07,304.431,297.156,303.19,303.19,297.16
2020-01-07,2.57704e+07,300.89,297.48,298.39,298.39,299.84
2020-01-06,2.884446e+07,299.96,292.75,299.8,299.8,293.79
2020-01-03,3.411314e+07,300.58,296.5,297.43,297.43,297.15
2020-01-02,3.076728e+07,300.6,295.2,300.35,300.35,296.24
