date,volume,high,low,adj_close,close,open
2020-01-31,922219,40.175,39.2,39.94,39.94,39.88
2020-01-30,697461,40.45,39.07,39.98,39.98,39.85
2020-01-29,1130371,41.565,39.83,40.24,40.24,41.45
2020-01-28,1302736,41.76,39.9,41.55,41.55,40.55
2020-01-27,1428953,40.81,37.0103,40.43,40.43,38.8
2020-01-24,1316480,41.29,39.06,39.34,39.34,40.89
2020-01-23,2019544,42.13,40.68,40.79,40.79,42
2020-01-22,1021594,43.8188,42.06,42.16,42.16,43.51
2020-01-21,781835,43.79,42.85,43.37,43.37,43.01
2020-01-17,849595,45.17,42.91,43.43,43.43,44.93
2020-01-16,854414,45.85,44.22,44.56,44.56,45.5
2020-01-15,1392859,46.11,43.76,45.4,45.4,44.03
2020-01-14,1580972,44.1,41.6601,44.05,44.05,41.77
2020-01-13,3187897,45.39,40.6,41.8,41.8,45.39
2020-01-10,2043486,47.21,44.82,45.24,45.24,45.66
2020-01-09,1702524,45.92,44.29,45.575,45.575,44.41
2020-01-08,1170473,44.68,41.86,44.41,44.41,42.28
2020-01-07,1417378,42.63,41.3442,42.18,42.18,42.62
2020-01-06,1600683,42.885,39.3238,42.81,42.81,39.98
2020-01-03,2128334,41.51,39.94,40.35,40.35,40.74
2020-01-02,2084572,42.8904,40.79,41.11,41.11,42.87
