date,volume,high,low,adj_close,close,open
2020-01-31,850239,32.51,32.005,32.13,32.13,32.48
2020-01-30,516430,32.65,32.1175,32.63,32.63,32.18
2020-01-29,534390,32.8,32.205,32.41,32.41,32.44
2020-01-28,312245,33,32.37,32.49,32.49,32.4
2020-01-27,423646,32.63,32.03,32.3,32.3,32.03
2020-01-24,420295,32.69,32.08,32.45,32.45,32.69
2020-01-23,332953,32.815,32.235,32.75,32.75,32.56
2020-01-22,325375,32.87,32.3,32.72,32.72,32.35
2020-01-21,648878,33.335,32.215,32.3,32.3,33.32
2020-01-17,230176,33.765,33.384,33.48,33.48,33.76
2020-01-16,571204,33.81,33.43,33.75,33.75,33.75
2020-01-15,425344,33.899,33.39,33.48,33.48,33.44
2020-01-14,607825,33.74,33.2,33.52,33.52,33.25
2020-01-13,271339,33.33,33,33.3,33.3,33.14
2020-01-10,222049,33.45,32.99,33.26,33.26,33.35
2020-01-09,372500,33.62,33.15,33.41,33.41,33.48
2020-01-08,572185,33.83,33.19,33.46,33.46,33.58
2020-01-07,335355,33.78,33.19,33.645,33.645,33.63
2020-01-06,567846,33.85,33.01,33.71,33.71,33.01
2020-01-03,369158,33.28,32.56,33.09,33.09,32.8
2020-01-02,437722,33.42,32.71,33.15,33.15,33.42
