date,volume,high,low,adj_close,close,open
2020-01-31,462326,36,33.3,34.74,34.74,36
2020-01-30,606173,36.84,35.11,36.04,36.04,36.46
2020-01-29,447459,39.24,35.73,37.04,37.04,37.8
2020-01-28,937473,42.95,36.53,38.07,38.07,39.78
2020-01-27,1262990,38.8,32.5,37.57,37.57,33.01
2020-01-24,1772352,41.8698,35,35.71,35.71,41.84
2020-01-23,1758041,46.93,39.7701,40.26,40.26,46.67
2020-01-22,2771701,51.2022,43.581,48.51,48.51,46
2020-01-21,1319833,42.69,35,42.67,42.67,35.99
2020-01-17,864931,36.345,32.35,36.09,36.09,36
2020-01-16,1203753,37.62,35.4538,36.31,36.31,35.55
2020-01-15,2232337,36.69,30.74,35.15,35.15,31.59
2020-01-14,1252332,31.83,27,31.59,31.59,27
2020-01-13,626142,26.43,24.15,26.28,26.28,24.15
2020-01-10,183179,24.42,23.34,23.63,23.63,23.5
2020-01-09,518446,25,22.38,23.48,23.48,24.86
2020-01-08,889214,26.265,24.44,24.78,24.78,24.45
2020-01-07,929632,24.71,21.25,24.5,24.5,21.44
2020-01-06,580277,21.79,18.91,21,21,18.91
2020-01-03,110175,19.25,18.58,19.1,19.1,18.58
2020-01-02,156754,19.29,18.51,18.93,18.93,18.73
