date,volume,high,low,adj_close,close,open
2020-01-31,2627553,47.73,47.21,47.44,47.44,47.69
2020-01-30,1485501,48.25,47.74,48.23,48.23,47.89
2020-01-29,934499,48.58,48.37,48.42,48.42,48.56
2020-01-28,2567969,48.43,48.065,48.39,48.39,48.19
2020-01-27,2448352,48.18,47.83,47.97,47.97,47.96
2020-01-24,1129959,49.52,48.98,49.1,49.1,49.52
2020-01-23,2101059,49.425,49.005,49.39,49.39,49.24
2020-01-22,1365032,49.7,49.495,49.57,49.57,49.69
2020-01-21,1528614,49.6154,49.39,49.39,49.39,49.58
2020-01-17,1034001,50.02,49.88,50,50,49.95
2020-01-16,667239,49.83,49.71,49.83,49.83,49.72
2020-01-15,1151848,49.68,49.53,49.57,49.57,49.61
2020-01-14,1316921,49.73,49.55,49.68,49.68,49.56
2020-01-13,2843178,49.73,49.35,49.73,49.73,49.44
2020-01-10,2211812,49.53,49.26,49.3,49.3,49.44
2020-01-09,1598136,49.41,49.2701,49.36,49.36,49.39
2020-01-08,1540411,49.36,48.99,49.23,49.23,49.03
2020-01-07,1019482,49.16,49.02,49.1,49.1,49.14
2020-01-06,1945781,49.2,48.87,49.2,49.2,48.88
2020-01-03,1486892,49.3279,49.05,49.08,49.08,49.05
2020-01-02,1593371,49.72,49.465,49.72,49.72,49.5
