date,volume,high,low,adj_close,close,open
2020-01-31,192290,5.24,4.95,5.14,5.14,5.1
2020-01-30,203048,5.36,5.06,5.1,5.1,5.25
2020-01-29,202498,5.4043,5.25,5.28,5.28,5.32
2020-01-28,214451,5.46,5.19,5.3,5.3,5.33
2020-01-27,244307,5.52,5.05,5.27,5.27,5.13
2020-01-24,265719,6.015,5.39,5.45,5.45,6.01
2020-01-23,366015,6.06,5.7,6.01,6.01,5.85
2020-01-22,309220,6.03,5.75,5.88,5.88,6.02
2020-01-21,350470,6.13,5.75,5.97,5.97,5.88
2020-01-17,448933,6.06,5.8,5.88,5.88,5.94
2020-01-16,339779,5.92,5.64,5.9,5.9,5.74
2020-01-15,397505,5.76,5.43,5.7,5.7,5.43
2020-01-14,518883,5.58,5.25,5.45,5.45,5.49
2020-01-13,806440,5.56,5.01,5.5,5.5,5.19
2020-01-10,1083126,5.6,5.17,5.19,5.19,5.4
2020-01-09,1347841,5.6,5.15,5.55,5.55,5.19
2020-01-08,2834340,5.17,4.25,5.11,5.11,4.26
2020-01-07,313918,4.29,4.09,4.16,4.16,4.14
2020-01-06,450261,4.19,3.97,4.14,4.14,4.1
2020-01-03,536243,4.2,4,4.1,4.1,4.02
2020-01-02,1255178,4.3,3.88,4.08,4.08,4.16
