date,volume,high,low,adj_close,close,open
2020-01-31,23447,2.5883,2.3761,2.5883,2.5883,2.41
2020-01-30,72080,2.88,2.26,2.6,2.6,2.88
2020-01-29,181275,2.94,2.4501,2.48,2.48,2.94
2020-01-28,34305,3.1626,2.87,3.01,3.01,3
2020-01-27,23196,3.2,2.9081,3,3,3.2
2020-01-24,27331,3.31,3.06,3.1,3.1,3.1
2020-01-23,44087,3.13,3,3.1,3.1,3.01
2020-01-22,59247,3.24,3.03,3.07,3.07,3.24
2020-01-21,241941,3.8,3,3.14,3.14,3.3
2020-01-17,36408,3.2188,3.0301,3.15,3.15,3.19
2020-01-16,182121,3.3887,2.9101,3,3,3.31
2020-01-15,768473,3.5,2.7949,3.31,3.31,2.83
2020-01-13,19090,2.45,2.27,2.42,2.42,2.44
2020-01-10,70311,2.67,2.25,2.3,2.3,2.67
2020-01-09,39923,2.74,2.36,2.51,2.51,2.36
2020-01-08,49244,2.74,2.3401,2.47,2.47,2.74
2020-01-07,5195,2.55,2.51,2.5185,2.5185,2.55
2020-01-06,7806,2.6271,2.55,2.55,2.55,2.6264
2020-01-03,17052,2.695,2.57,2.59,2.59,2.4702
2020-01-02,30429,2.8075,2.58,2.69,2.69,2.7103
