date,volume,high,low,adj_close,close,open
2020-01-31,5790,4.93,4.75,4.82,4.82,4.75
2020-01-30,4326,4.81,4.67,4.725,4.725,4.7768
2020-01-29,4975,4.86,4.7,4.86,4.86,4.82
2020-01-28,19743,4.92,4.65,4.65,4.65,4.91
2020-01-27,7623,5.07,4.81,4.83,4.83,5.06
2020-01-24,15168,5.3,5.125,5.125,5.125,5.3
2020-01-23,20580,5.79,5.25,5.25,5.25,5.42
2020-01-22,23931,5.4061,5.1241,5.4,5.4,5.24
2020-01-21,25989,5.15,4.88,5.12,5.12,4.88
2020-01-17,14108,4.84,4.59,4.65,4.65,4.84
2020-01-16,12809,5.1,4.72,4.73,4.73,5.06
2020-01-15,10647,5.02,4.784,4.97,4.97,5.02
2020-01-14,20100,5.32,4.99,4.99,4.99,5.3
2020-01-13,19021,5.3749,4.86,5.05,5.05,4.9247
2020-01-10,23331,5.17,4.8,4.8,4.8,5.17
2020-01-09,40424,5.4381,5.15,5.24,5.24,5.15
2020-01-08,15657,5.06,4.8967,5.05,5.05,5.05
2020-01-07,7829,4.95,4.7037,4.95,4.95,4.9
2020-01-06,9897,4.89,4.52,4.79,4.79,4.73
2020-01-03,12289,4.86,4.58,4.58,4.58,4.85
2020-01-02,8641,4.9558,4.68,4.9,4.9,4.68
