date,volume,high,low,adj_close,close,open
2020-01-31,94196,7.41,6.69,7.26,7.26,7
2020-01-30,44856,7.5,7.06,7.08,7.08,7.36
2020-01-29,81050,7.56,6.98,7.47,7.47,7.21
2020-01-28,43333,7.39,7.194,7.26,7.26,7.306
2020-01-27,68718,7.38,7.14,7.165,7.165,7.29
2020-01-24,45227,7.66,7.33,7.39,7.39,7.68
2020-01-23,24893,8,7.63,7.64,7.64,7.9
2020-01-22,57206,8,7.76,7.96,7.96,7.91
2020-01-21,22760,7.95,7.82,7.84,7.84,7.95
2020-01-17,102085,8.04,7.71,7.94,7.94,7.78
2020-01-16,17569,7.77,7.6463,7.68,7.68,7.69
2020-01-15,39101,7.96,7.52,7.57,7.57,7.56
2020-01-14,28530,7.88,7.51,7.56,7.56,7.69
2020-01-13,47901,8,7.44,7.77,7.77,7.58
2020-01-10,31062,7.94,7.56,7.64,7.64,7.72
2020-01-09,34163,8.0103,7.72,7.76,7.76,7.95
2020-01-08,37518,7.95,7.735,7.91,7.91,7.82
2020-01-07,44087,7.98,7.55,7.87,7.87,7.55
2020-01-06,28740,7.76,7.44,7.61,7.61,7.57
2020-01-03,22139,7.75,7.595,7.69,7.69,7.63
2020-01-02,56574,7.8,7.3973,7.75,7.75,7.43
