date,volume,high,low,adj_close,close,open
2020-01-31,2213990,3.8007,3.3602,3.7,3.7,3.8
2020-01-30,2594654,3.9337,3.6,3.78,3.78,3.8
2020-01-29,6223370,4.2,3.69,3.84,3.84,4.1
2020-01-28,5507034,3.96,3.43,3.92,3.92,3.5
2020-01-27,3008032,3.55,3.21,3.41,3.41,3.32
2020-01-24,6470271,3.58,3.14,3.35,3.35,3.14
2020-01-23,4137308,3.09,2.805,3.08,3.08,2.95
2020-01-22,1889019,2.89,2.7,2.83,2.83,2.79
2020-01-21,2294663,2.92,2.67,2.79,2.79,2.83
2020-01-17,1730183,2.93,2.82,2.82,2.82,2.93
2020-01-16,1916544,2.99,2.82,2.93,2.93,2.88
2020-01-15,2575065,3.02,2.8,2.84,2.84,3
2020-01-14,1598738,3.08,2.9,2.98,2.98,2.96
2020-01-13,1849696,3.02,2.875,2.94,2.94,2.97
2020-01-10,1675533,3.01,2.87,2.95,2.95,3
2020-01-09,2278558,3.1,2.865,2.97,2.97,3.02
2020-01-08,1463293,2.97,2.8,2.92,2.92,2.81
2020-01-07,1522562,2.9,2.74,2.85,2.85,2.85
2020-01-06,3467604,3.12,2.81,2.85,2.85,2.87
2020-01-03,2256751,2.93,2.75,2.9,2.9,2.83
2020-01-02,6666832,3,2.5,2.97,2.97,2.56
