date,volume,high,low,adj_close,close,open
2020-01-31,440,25.04,24.9,24.95,24.95,25.04
2020-01-30,1233,24.9,24.78,24.9,24.9,24.85
2020-01-29,3085,24.9185,24.77,24.78,24.78,24.9
2020-01-28,5493,24.95,24.8669,24.89,24.89,24.9
2020-01-27,3269,24.95,24.89,24.89,24.89,24.95
2020-01-24,826,24.96,24.94,24.95,24.95,24.91
2020-01-23,4109,24.9912,24.87,24.95,24.95,24.955
2020-01-22,2407,24.99,24.87,24.87,24.87,24.99
2020-01-21,1914,25.06,24.89,24.9,24.9,24.89
2020-01-17,312,25.08,24.87,25.08,25.08,25.31
2020-01-16,1790,25.08,24.86,24.87,24.87,24.92
2020-01-15,5296,25.15,24.71,24.77,24.77,25.15
2020-01-13,19924,2.55,2.5,2.5,2.5,2.5
2020-01-10,8853,2.52,2.5,2.5,2.5,2.52
2020-01-09,14378,2.55,2.4874,2.5,2.5,2.4874
2020-01-08,15265,2.53,2.5,2.5193,2.5193,2.52
2020-01-07,15422,2.51,2.48,2.5,2.5,2.48
2020-01-06,7300,2.499,2.47,2.49,2.49,2.499
2020-01-03,15321,2.5,2.4873,2.5,2.5,2.5
2020-01-02,5535,2.51,2.46,2.46,2.46,2.48
