date,volume,high,low,adj_close,close,open
2020-01-31,242056,46.05,43.85,43.93,43.93,46.05
2020-01-30,192132,46.3,45.535,46.28,46.28,45.69
2020-01-29,188542,46.24,45.62,45.87,45.87,46.16
2020-01-28,272020,46.07,45.35,45.89,45.89,45.5
2020-01-27,328650,46.375,45.06,45.23,45.23,46
2020-01-24,299076,46.495,45.48,45.76,45.76,46.28
2020-01-23,444616,46.02,45.08,45.66,45.66,45.94
2020-01-22,463333,47.15,45.98,46.28,46.28,46.39
2020-01-21,317836,46.42,45.81,46.26,46.26,45.92
2020-01-17,468856,46.25,45.17,46.03,46.03,45.54
2020-01-16,310316,45.28,43.68,45.24,45.24,43.68
2020-01-15,543318,45.2244,43.25,43.82,43.82,43.25
2020-01-14,688127,43.48,41.57,43,43,41.73
2020-01-13,300552,42.66,41.81,41.9,41.9,42.3
2020-01-10,247523,42.87,42.15,42.27,42.27,42.87
2020-01-09,181410,43.29,42.65,42.68,42.68,43.24
2020-01-08,296451,43.3,42.605,42.99,42.99,43.1
2020-01-07,148481,43.2,42.58,43.11,43.11,42.9
2020-01-06,208316,43.16,42.3,43.05,43.05,42.66
2020-01-03,335378,43,42.3945,42.88,42.88,42.41
2020-01-02,173395,43.45,42.8918,42.99,42.99,43.38
