date,volume,high,low,adj_close,close,open
2020-01-31,9504,21.28,21.05,21.1,21.1,21.28
2020-01-30,195654,21.48,21.2,21.38,21.38,21.48
2020-01-29,59132,21.87,21.56,21.56,21.56,21.71
2020-01-28,4623,21.61,21.4,21.49,21.49,21.5682
2020-01-27,21627,21.73,21.11,21.56,21.56,21.2
2020-01-24,1274,21.36,21.3,21.3,21.3,21.3394
2020-01-23,8846,21.39,21.26,21.34,21.34,21.39
2020-01-22,22836,21.51,21.34,21.34,21.34,21.41
2020-01-21,9908,21.73,21.46,21.5,21.5,21.5
2020-01-17,7522,21.94,21.67,21.71,21.71,21.67
2020-01-16,44974,21.73,21.32,21.5,21.5,21.35
2020-01-15,16522,21.93,21.42,21.46,21.46,21.65
2020-01-14,87890,22,21.44,21.68,21.68,21.44
2020-01-13,83540,21.96,21.345,21.51,21.51,21.9
2020-01-10,26584,22,21.5,21.705,21.705,21.97
2020-01-09,36115,22.4,21.85,21.97,21.97,22.25
2020-01-08,13875,22.34,21.9045,22.27,22.27,22.34
2020-01-07,17525,22.76,22.115,22.38,22.38,22.51
2020-01-06,23102,22.98,22.68,22.785,22.785,22.68
2020-01-03,46746,22.99,21.78,22.79,22.79,22.32
2020-01-02,48490,23,21.6492,22.5,22.5,23
