date,volume,high,low,adj_close,close,open
2020-01-31,2386,2.89,2.79,2.89,2.89,2.8428
2020-01-30,5522,2.9,2.79,2.89,2.89,2.85
2020-01-29,2016,2.81,2.66,2.81,2.81,2.66
2020-01-28,1821,2.68,2.65,2.68,2.68,2.65
2020-01-27,4736,2.66,2.55,2.62,2.62,2.65
2020-01-24,2118,2.66,2.51,2.6,2.6,2.52
2020-01-23,1496,2.6707,2.53,2.53,2.53,2.6707
2020-01-22,10595,2.77,2.64,2.66,2.66,2.75
2020-01-21,21949,2.79,2.7,2.7,2.7,2.76
2020-01-17,8385,2.86,2.8241,2.82,2.82,2.86
2020-01-16,4279,2.85,2.8035,2.85,2.85,2.8035
2020-01-15,13600,2.88,2.7,2.7,2.7,2.83
2020-01-14,16885,2.865,2.83,2.85,2.85,2.84
2020-01-13,17694,2.85,2.78,2.84,2.84,2.8098
2020-01-10,6422,2.89,2.74,2.89,2.89,2.75
2020-01-09,3842,2.85,2.745,2.77,2.77,2.82
2020-01-08,6940,2.88,2.85,2.85,2.85,2.89
2020-01-07,17878,2.87,2.78,2.87,2.87,2.83
2020-01-06,4907,2.85,2.71,2.8,2.8,2.84
2020-01-03,8974,2.86,2.8,2.85,2.85,2.8
2020-01-02,11009,2.86,2.78,2.85,2.85,2.78
