date,volume,high,low,adj_close,close,open
2020-01-31,219174,19.41,18.75,18.91,18.91,19.27
2020-01-30,202914,19.99,19.23,19.34,19.34,19.82
2020-01-29,156497,20.08,19.7,19.96,19.96,19.7
2020-01-28,156789,19.94,19.64,19.72,19.72,19.78
2020-01-27,142632,19.84,19.32,19.68,19.68,19.32
2020-01-24,255956,20.07,19.495,19.64,19.64,20.07
2020-01-23,203788,20.1,19.87,20.065,20.065,20.03
2020-01-22,103154,20.2,19.92,20,20,20.17
2020-01-21,156611,20.29,19.925,19.99,19.99,19.96
2020-01-17,221647,20.24,19.9425,20.08,20.08,20.24
2020-01-16,163851,20.365,19.9,20.08,20.08,19.9
2020-01-15,274403,20.18,19.07,20.03,20.03,19.07
2020-01-14,282824,19.25,18.6516,19.07,19.07,18.69
2020-01-13,170151,18.8,18.375,18.79,18.79,18.63
2020-01-10,133807,18.885,18.58,18.66,18.66,18.71
2020-01-09,161918,18.97,18.68,18.71,18.71,18.79
2020-01-08,171811,18.69,18.18,18.61,18.61,18.44
2020-01-07,123677,18.57,18.24,18.42,18.42,18.51
2020-01-06,140623,18.81,18.32,18.535,18.535,18.81
2020-01-03,159216,19.19,18.87,18.89,18.89,19.11
2020-01-02,139889,19.5,19.05,19.35,19.35,19.44
