date,volume,high,low,adj_close,close,open
2020-01-31,23210,20.545,18.63,18.63,18.63,20.36
2020-01-30,70954,20.55,19.62,20.45,20.45,20.16
2020-01-29,28484,19.885,19.66,19.7,19.7,19.76
2020-01-28,32542,19.85,19.6,19.79,19.79,19.74
2020-01-27,20452,20.15,19.59,19.61,19.61,20
2020-01-24,41880,20.6,19.975,20.15,20.15,20.6
2020-01-23,63105,20.56,20.2,20.36,20.36,20.2
2020-01-22,21129,20.41,20.25,20.33,20.33,20.35
2020-01-21,23556,20.49,20.18,20.33,20.33,20.25
2020-01-17,39686,20.7,20.2,20.26,20.26,20.59
2020-01-16,41135,20.86,20.32,20.39,20.39,20.63
2020-01-15,31785,20.6195,20.16,20.56,20.56,20.52
2020-01-14,103182,20.91,20.59,20.6,20.6,20.91
2020-01-13,80633,21,20.61,20.98,20.98,20.65
2020-01-10,47282,21.03,20.5,20.63,20.63,20.85
2020-01-09,58299,20.99,20.49,20.91,20.91,20.67
2020-01-08,43876,20.959,20.47,20.67,20.67,20.65
2020-01-07,83319,21.2,20.1101,20.62,20.62,20.87
2020-01-06,36249,21.26,20.838,20.96,20.96,21.26
2020-01-03,59893,21.53,21.3,21.32,21.32,21.39
2020-01-02,72664,21.9,21.24,21.6,21.6,21.9
