date,volume,high,low,adj_close,close,open
2020-01-31,59575,113.51,109.64,109.65,109.65,113.12
2020-01-30,62344,114.69,111.972,113.63,113.63,112.59
2020-01-29,66587,114.555,113.32,113.32,113.32,114.07
2020-01-28,50279,114.53,112.23,113.52,113.52,112.67
2020-01-27,59005,113.75,110.55,112.18,112.18,111.77
2020-01-24,73720,115.26,112.27,113.58,113.58,115.26
2020-01-23,56982,115.6,113.09,114.83,114.83,114.19
2020-01-22,46813,114.921,114.05,114.16,114.16,114.63
2020-01-21,65614,114.5,112.54,114.02,114.02,112.54
2020-01-17,72903,113.977,112.545,112.96,112.96,113.49
2020-01-16,73024,113.407,111.395,112.85,112.85,112
2020-01-15,75260,112.35,110,111.41,111.41,110
2020-01-14,77176,110.79,108.3,109.95,109.95,108.73
2020-01-13,50775,109.29,107.55,108.75,108.75,108
2020-01-10,70752,108.35,106.7,107.77,107.77,107.1
2020-01-09,76725,107.79,106.45,107.39,107.39,106.96
2020-01-08,49713,107.65,105.64,106.81,106.81,105.64
2020-01-07,109943,106.35,104.74,105.32,105.32,105.53
2020-01-06,96572,106.27,103.069,106.01,106.01,104.43
2020-01-03,58671,105.03,102.78,105.02,105.02,103.7
2020-01-02,65059,105.1,102.85,104.65,104.65,105.1
