date,volume,high,low,adj_close,close,open
2020-01-31,21349,3.65,3.54,3.55,3.55,3.61
2020-01-30,36918,3.7,3.545,3.61,3.61,3.68
2020-01-29,55072,3.92,3.73,3.75,3.75,3.8
2020-01-28,23814,4.02,3.85,3.96,3.96,3.93
2020-01-27,44817,4.04,3.75,3.97,3.97,3.8
2020-01-24,33565,3.99,3.77,3.86,3.86,3.99
2020-01-23,96216,4.1,3.73,3.95,3.95,4.1
2020-01-22,136897,4.13,3.85,4.06,4.06,3.93
2020-01-21,67949,3.79,3.44,3.73,3.73,3.51
2020-01-17,93752,3.57,3.37,3.51,3.51,3.55
2020-01-16,98149,3.59,3.1505,3.55,3.55,3.32
2020-01-15,139428,3.39,3.16,3.3,3.3,3.32
2020-01-14,286132,3.48,2.77,3.32,3.32,2.77
2020-01-13,51482,2.89,2.74,2.77,2.77,2.8625
2020-01-10,47628,2.95,2.85,2.87,2.87,2.95
2020-01-09,32619,3.06,2.93,2.93,2.93,3.03
2020-01-08,40837,3.027,2.93,3,3,2.95
2020-01-07,75924,3.24,2.93,2.94,2.94,3.24
2020-01-06,33735,3.16,3.04,3.15,3.15,3.16
2020-01-03,22496,3.17,3,3.16,3.16,3.0263
2020-01-02,79951,3.32,2.88,3.03,3.03,3.29
