date,volume,high,low,adj_close,close,open
2020-01-31,37300,10.68,10.55,10.68,10.68,10.675
2020-01-30,1700,10.7,10.65,10.7,10.7,10.65
2020-01-29,50850,10.7,10.56,10.7,10.7,10.56
2020-01-28,9705,10.8,10.6398,10.7,10.7,10.8
2020-01-27,3375,10.805,10.63,10.805,10.805,10.64
2020-01-24,112,10.63,10.63,10.63,10.63,10.63
2020-01-23,176381,10.65,10.43,10.65,10.65,10.43
2020-01-22,4505,10.65,10.6,10.6,10.6,10.64
2020-01-21,56900,11.89,10.5,10.6,10.6,10.6
2020-01-16,237300,10.76,10.45,10.76,10.76,10.45
2020-01-13,213800,10.6,10.6,10.6,10.6,10.6
2020-01-10,111100,10.6,10.5,10.6,10.6,10.5
2020-01-08,33615,10.62,10.5,10.5,10.5,10.5
2020-01-06,100,10.5507,10.5507,10.47,10.47,10.5507
2020-01-03,95100,10.55,10.47,10.55,10.55,10.48
2020-01-02,3198,10.46,10.46,10.46,10.46,10.46
