date,volume,high,low,adj_close,close,open
2020-01-31,1357410,19.01,18.78,18.82,18.82,19.01
2020-01-30,1587350,19.03,18.82,19.02,19.02,18.88
2020-01-29,1444428,19.005,18.9,18.94,18.94,18.95
2020-01-28,1572209,18.99,18.81,18.92,18.92,18.84
2020-01-27,1502040,18.91,18.78,18.8,18.8,18.85
2020-01-24,1562900,19.1747,18.895,18.9,18.9,19.16
2020-01-23,1256044,19.19,18.95,19.12,19.12,19.15
2020-01-22,1745168,19.2,19.06,19.16,19.16,19.08
2020-01-21,3439358,19.15,18.92,19.04,19.04,18.96
2020-01-17,3538065,19.14,18.89,18.96,18.96,19.07
2020-01-16,1990538,19.04,18.91,19,19,18.95
2020-01-15,1263197,18.94,18.785,18.86,18.86,18.83
2020-01-14,1277902,18.88,18.75,18.87,18.87,18.76
2020-01-13,1470784,18.78,18.66,18.74,18.74,18.7
2020-01-10,1028995,18.76,18.64,18.66,18.66,18.71
2020-01-09,1820580,18.78,18.66,18.71,18.71,18.76
2020-01-08,1652055,18.78,18.6534,18.73,18.73,18.67
2020-01-07,1550343,18.74,18.63,18.64,18.64,18.67
2020-01-06,1987762,18.74,18.6,18.69,18.69,18.64
2020-01-03,1641741,18.67,18.58,18.66,18.66,18.59
2020-01-02,1953278,18.73,18.59,18.66,18.66,18.69
