date,volume,high,low,adj_close,close,open
2020-01-31,1189334,288.25,280.17,280.66,280.66,288
2020-01-30,782376,294.7,290.54,294.38,294.38,290.79
2020-01-29,954718,298.29,293.75,296.14,296.14,296.07
2020-01-28,1562714,290.26,285.16,290.18,290.18,286.23
2020-01-27,872590,288.62,283.77,284.28,284.28,287.16
2020-01-24,873886,299.33,294.49,295.83,295.83,296.89
2020-01-23,688371,297.1,291.58,294.32,294.32,296.93
2020-01-22,1100015,301.64,296.01,296.25,296.25,300.56
2020-01-21,538020,301.25,297.527,298.4,298.4,298.11
2020-01-17,731418,301.05,299.27,300.04,300.04,300.9
2020-01-16,538888,302.94,299.55,301.08,301.08,302.55
2020-01-15,493273,302.95,299.75,300.08,300.08,301.6
2020-01-14,604512,305.9,298.47,302.55,302.55,299.15
2020-01-13,399051,301.62,297.51,301.45,301.45,298.68
2020-01-10,425450,300.51,295.56,296.18,296.18,300.05
2020-01-09,576542,303.906,300.34,301.38,301.38,303.28
2020-01-08,513510,303.19,299.94,301.89,301.89,300.66
2020-01-07,464662,301.218,297.41,298.79,298.79,298.67
2020-01-06,596463,295.7,292.43,295.58,295.58,293.17
2020-01-03,358302,300.75,297.66,297.95,297.95,298.04
2020-01-02,557533,303.3,300.61,302.83,302.83,301.27
