date,volume,high,low,adj_close,close,open
2020-01-31,1272364,1.11,1.01,1.07,1.07,1.08
2020-01-30,621202,1.12,1.06,1.09,1.09,1.1
2020-01-29,644836,1.16,1.1,1.11,1.11,1.14
2020-01-28,755838,1.14,1.0746,1.12,1.12,1.09
2020-01-27,962415,1.14,1.01,1.09,1.09,1.06
2020-01-24,1208043,1.22,1.11,1.12,1.12,1.18
2020-01-23,1081518,1.2573,1.17,1.17,1.17,1.25
2020-01-22,1134336,1.32,1.23,1.24,1.24,1.31
2020-01-21,2350277,1.35,1.23,1.3,1.3,1.25
2020-01-17,2476032,1.27,1.19,1.24,1.24,1.27
2020-01-16,1128492,1.22,1.1417,1.21,1.21,1.15
2020-01-15,1052046,1.18,1.12,1.14,1.14,1.18
2020-01-14,1722455,1.19,1.1,1.16,1.16,1.16
2020-01-13,2754477,1.27,1.13,1.16,1.16,1.25
2020-01-10,1599345,1.14,1.07,1.11,1.11,1.07
2020-01-09,1740351,1.14,1.06,1.07,1.07,1.08
2020-01-08,2304451,1.16,1.04,1.08,1.08,1.16
2020-01-07,2950000,1.19,1.08,1.15,1.15,1.11
2020-01-06,3031862,1.12,1.01,1.08,1.08,1.12
2020-01-03,1791147,1.18,1.11,1.11,1.11,1.15
2020-01-02,1950269,1.3117,1.17,1.19,1.19,1.3
