date,volume,high,low,adj_close,close,open
2020-01-31,349,28.5236,28.4125,28.5236,28.5236,28.45
2020-01-30,733,28.35,28.33,28.35,28.35,28.35
2020-01-29,500,28.33,28.1304,28.33,28.33,28.1304
2020-01-28,600,28.4499,28.2396,28.3252,28.3252,28.4499
2020-01-27,853,28.075,28.0077,28.05,28.05,28.05
2020-01-24,352,27.75,27.75,27.75,27.75,27.75
2020-01-21,271,28.1536,27.6655,28.4596,28.4596,28.1536
2020-01-16,531,28.466,28.4596,28.7185,28.7185,28.466
2020-01-15,222,28.72,28.72,28.72,28.72,28.72
2020-01-14,100,28.7185,28.7185,28.7185,28.7185,28.7185
2020-01-13,1140,28.85,28.1,28.75,28.75,28.1
2020-01-10,797,28.85,28.847,28.85,28.85,28.847
2020-01-07,550,28.4,28,28.03,28.03,28.4
2020-01-06,1411,28.5,28.26,28.4,28.4,28.26
2020-01-03,1430,28.5897,28.2501,28.48,28.48,28.2501
2020-01-02,2002,28.49,28.4292,28.4292,28.4292,28
