date,volume,high,low,adj_close,close,open
2020-01-31,17547,13.99,13.0401,13.96,13.96,13.51
2020-01-30,35140,14.07,12.74,13.56,13.56,13.79
2020-01-29,65612,14.09,13,13.85,13.85,13
2020-01-28,31557,13.79,12.7215,13.18,13.18,13.31
2020-01-27,46613,13.64,12.7125,13.24,13.24,13.63
2020-01-24,25879,14.8699,12.2,12.73,12.73,13.13
2020-01-23,24610,13.0903,12.61,12.99,12.99,12.63
2020-01-22,56273,13.3,11.47,12.71,12.71,12.95
2020-01-21,61687,13.17,11.97,12.82,12.82,12.01
2020-01-17,42811,11.84,11.16,11.79,11.79,11.16
2020-01-16,28775,11.66,11.03,11.45,11.45,11.14
2020-01-15,18765,11.05,10.7022,10.98,10.98,11.04
2020-01-14,19426,10.99,10.71,10.94,10.94,10.88
2020-01-13,31097,10.975,10.17,10.75,10.75,10.17
2020-01-10,10029,10.185,9.7553,10.1,10.1,9.77
2020-01-09,9679,9.96,9.41,9.62,9.62,9.41
2020-01-08,4195,9.6,9.4657,9.52,9.52,9.6
2020-01-07,7972,9.6198,9.32,9.6,9.6,9.5352
2020-01-06,4874,9.5,9.21,9.5,9.5,9.21
2020-01-03,12882,9.62,9.14,9.32,9.32,9.142
2020-01-02,6861,9.2,8.9,9.14,9.14,8.9
