date,volume,high,low,adj_close,close,open
2020-01-31,566905,14.08,13.16,13.39,13.39,14.08
2020-01-30,359018,14.43,13.995,14.13,14.13,14.12
2020-01-29,263339,14.4,14.15,14.28,14.28,14.4
2020-01-28,403988,14.43,14.025,14.27,14.27,14.03
2020-01-27,471871,14.13,13.835,13.88,13.88,14.03
2020-01-24,506564,15.1375,14.31,14.33,14.33,15.02
2020-01-23,418170,15.2813,14.91,15.01,15.01,15.27
2020-01-22,327042,15.56,15.19,15.36,15.36,15.56
2020-01-21,326088,15.7,15.155,15.52,15.52,15.22
2020-01-17,366415,15.73,15.14,15.27,15.27,15.57
2020-01-16,322624,15.7,15.25,15.44,15.44,15.58
2020-01-15,409440,15.53,15.21,15.42,15.42,15.35
2020-01-14,532160,15.36,14.75,15.23,15.23,14.99
2020-01-13,538881,15.67,14.91,15.09,15.09,15.5
2020-01-10,439385,15.75,15.3862,15.5,15.5,15.47
2020-01-09,340907,16.02,15.37,15.4,15.4,16
2020-01-08,381613,16,15.48,15.85,15.85,15.61
2020-01-07,474520,16.01,15.35,15.64,15.64,15.7
2020-01-06,664150,15.8,14.86,15.6,15.6,15.78
2020-01-03,577969,15.88,15.36,15.71,15.71,15.57
2020-01-02,639449,15.855,15.09,15.8,15.8,15.39
