date,volume,high,low,adj_close,close,open
2020-01-31,53990,4.31,4.12,4.15,4.15,4.31
2020-01-30,39239,4.565,4.32,4.32,4.32,4.5157
2020-01-29,111010,4.849,4.39,4.5,4.5,4.48
2020-01-28,31248,4.45,4.37,4.45,4.45,4.43
2020-01-27,55954,4.525,4.44,4.43,4.43,4.5
2020-01-24,87251,4.7552,4.27,4.56,4.56,4.31
2020-01-23,31793,4.34,4.1,4.32,4.32,4.29
2020-01-22,51737,4.49,4.185,4.31,4.31,4.3
2020-01-21,172092,4.5,4.15,4.25,4.25,4.43
2020-01-17,251166,4.69,3.96,4.43,4.43,4.01
2020-01-16,90967,4.02,3.77,3.78,3.78,3.93
2020-01-15,42306,4.02,3.8,3.91,3.91,3.97
2020-01-14,44540,4.105,3.96,4,4,4.08
2020-01-13,128215,4.3359,3.91,4.1,4.1,4.24
2020-01-10,142777,4.25,3.6193,4.17,4.17,3.65
2020-01-09,95423,3.71,3.29,3.66,3.66,3.29
2020-01-08,55332,3.35,3.2,3.3,3.3,3.26
2020-01-07,41203,3.4,3.25,3.25,3.25,3.3
2020-01-06,24590,3.31,3.15,3.31,3.31,3.16
2020-01-03,34696,3.2797,3.14,3.15,3.15,3.16
2020-01-02,38284,3.201,3.085,3.18,3.18,3.13
