date,volume,high,low,adj_close,close,open
2020-01-31,105551,1.54,1.4002,1.48,1.48,1.45
2020-01-30,117032,1.499,1.4,1.44,1.44,1.46
2020-01-29,32119,1.52,1.49,1.49,1.49,1.52
2020-01-28,54308,1.5417,1.5077,1.54,1.54,1.53
2020-01-27,90276,1.55,1.51,1.54,1.54,1.51
2020-01-24,55070,1.57,1.53,1.55,1.55,1.53
2020-01-23,54929,1.51,1.46,1.51,1.51,1.46
2020-01-22,63212,1.51,1.46,1.49,1.49,1.51
2020-01-21,62451,1.54,1.49,1.51,1.51,1.54
2020-01-17,66966,1.53,1.5,1.52,1.52,1.52
2020-01-16,95396,1.56,1.4678,1.52,1.52,1.52
2020-01-15,87785,1.6,1.52,1.53,1.53,1.56
2020-01-14,70162,1.56,1.5,1.54,1.54,1.5
2020-01-13,111603,1.57,1.5,1.52,1.52,1.55
2020-01-10,72265,1.63,1.54,1.57,1.57,1.57
2020-01-09,56270,1.6,1.55,1.55,1.55,1.58
2020-01-08,114151,1.67,1.55,1.61,1.61,1.67
2020-01-07,304928,1.7461,1.55,1.62,1.62,1.55
2020-01-06,58257,1.73,1.5694,1.58,1.58,1.73
2020-01-03,50096,1.6593,1.55,1.59,1.59,1.55
2020-01-02,55175,1.65,1.54,1.59,1.59,1.54
