date,volume,high,low,adj_close,close,open
2020-01-31,5597,1184.25,1145.44,1148.6,1148.6,1160
2020-01-30,13028,1167.39,1158.2,1164.07,1164.07,1167.39
2020-01-29,36000,1191.5,1178.9,1178.9,1178.9,1196.5
2020-01-28,6561,1183.64,1157.35,1183.64,1183.64,1170.43
2020-01-27,15909,1192.98,1152.82,1153.38,1153.38,1175.62
2020-01-24,13718,1224,1194.92,1195.02,1195.02,1204.26
2020-01-23,20803,1183.5,1157.01,1182.35,1182.35,1163.72
2020-01-22,10473,1175.99,1162.83,1163.74,1163.74,1164
2020-01-21,3013,1156.75,1150.43,1156.75,1156.75,1152.1
2020-01-17,27762,1155.11,1142.86,1155.11,1155.11,1146.83
2020-01-16,2946,1151.16,1145.6,1151.16,1151.16,1148.97
2020-01-15,8459,1151.26,1137.25,1139.16,1139.16,1151.26
2020-01-13,7326,1137.45,1135.01,1135.32,1135.32,1133.25
2020-01-10,9284,1150,1127.5,1129.62,1129.62,1133.77
2020-01-09,31304,1167.54,1140.26,1150.25,1150.25,1156.88
2020-01-08,6012,1172.91,1157.81,1157.81,1157.81,1164.92
2020-01-07,30094,1193.49,1168.49,1171.62,1171.62,1167.7
2020-01-06,5362,1170.56,1159.88,1169.76,1169.76,1159.88
2020-01-03,11285,1197.48,1170.23,1171.79,1171.79,1183.12
2020-01-02,11953,1193.2,1177.93,1193.2,1193.2,1184.58
