date,volume,high,low,adj_close,close,open
2020-01-31,102088,5.12,4.852,4.86,4.86,5.12
2020-01-30,31142,5.23,4.89,5.21,5.21,5.23
2020-01-29,14616,5.4414,5.0291,5.23,5.23,5.42
2020-01-28,10978,5.46,5.27,5.42,5.42,5.38
2020-01-27,61576,5.51,4.85,5.34,5.34,4.86
2020-01-24,54032,5.12,4.94,4.99,4.99,5.09
2020-01-23,65508,5.53,5.08,5.18,5.18,5.53
2020-01-22,77275,6.2646,5.525,5.57,5.57,6.18
2020-01-21,219106,6.5,5.96,6.05,6.05,6.15
2020-01-17,178595,6.2,5.54,6.04,6.04,5.54
2020-01-16,63680,5.5752,5.43,5.49,5.49,5.43
2020-01-15,26434,5.5,5.36,5.45,5.45,5.36
2020-01-14,81524,5.48,5.35,5.41,5.41,5.47
2020-01-13,14906,5.4,5.22,5.4,5.4,5.38
2020-01-10,16845,5.43,5.25,5.29,5.29,5.43
2020-01-09,32502,5.31,5.11,5.37,5.37,5.11
2020-01-08,35923,5.45,4.98,5.16,5.16,5.1462
2020-01-07,68835,5.2138,4.83,5.1,5.1,4.99
2020-01-06,34650,5.1,4.83,4.93,4.93,4.83
2020-01-03,360185,5.64,4.61,4.83,4.83,5.24
2020-01-02,65848,5.24,4.9901,5.2,5.2,5.04
