date,volume,high,low,adj_close,close,open
2020-01-31,55197,29.5651,29.05,29.15,29.15,29.44
2020-01-30,44348,29.55,28.97,29.55,29.55,28.97
2020-01-29,43429,29.6195,29.119,29.32,29.32,29.33
2020-01-28,56199,29.77,29.39,29.4,29.4,29.68
2020-01-27,113700,29.56,28.82,29.49,29.49,28.82
2020-01-24,78149,29.4,28.813,29.1,29.1,29.4
2020-01-23,93422,29.51,28.79,29.28,29.28,29
2020-01-22,37192,29.52,28.95,28.95,28.95,29.49
2020-01-21,95030,29.7,29.13,29.46,29.46,29.24
2020-01-17,47046,29.78,29.29,29.33,29.33,29.78
2020-01-16,95754,29.64,29.3444,29.59,29.59,29.63
2020-01-15,43911,29.56,29.21,29.45,29.45,29.32
2020-01-14,63787,29.73,29.32,29.45,29.45,29.47
2020-01-13,64798,29.63,28.53,29.62,29.62,28.53
2020-01-10,121448,29.02,28.44,28.62,28.62,28.84
2020-01-09,104308,29.285,28.83,28.91,28.91,29.19
2020-01-08,123822,29.6327,29.06,29.17,29.17,29.47
2020-01-07,40057,29.74,29.42,29.58,29.58,29.44
2020-01-06,51773,29.65,29.42,29.51,29.51,29.5
2020-01-03,40688,29.81,29.11,29.69,29.69,29.11
2020-01-02,37747,29.7,29.1681,29.47,29.47,29.7
