date,volume,high,low,adj_close,close,open
2020-01-31,16659,35.92,35.04,35.388,35.388,35.92
2020-01-30,12530,36.6,35.571,35.9234,35.9234,36.38
2020-01-29,11575,37.0153,36.42,36.42,36.42,36.82
2020-01-28,14765,36.755,36.3936,36.5936,36.5936,36.38
2020-01-27,38044,36.5679,35.22,36.35,36.35,35.8
2020-01-24,35493,38.16,36.09,36.36,36.36,38.16
2020-01-23,20342,38.01,37.0553,37.7033,37.7033,37.9
2020-01-22,8585,38.4264,38.0321,38.0468,38.0468,38.27
2020-01-21,13662,38.5,38.1318,38.1318,38.1318,38.2
2020-01-17,51320,38.7913,38.16,38.2126,38.2126,38.34
2020-01-16,10596,38.4234,38.15,38.2634,38.2634,38.15
2020-01-15,12541,37.8628,37.56,37.6949,37.6949,37.34
2020-01-14,24311,37.6858,36.06,37.36,37.36,36.5
2020-01-13,94405,37.22,35.9875,36.31,36.31,37.22
2020-01-10,10018,37.8578,37.1899,37.1862,37.1862,37.48
2020-01-09,44391,37.7729,37.3,37.31,37.31,37.69
2020-01-08,87137,37.4308,36.69,37.43,37.43,36.84
2020-01-07,27192,37.2738,36.44,37.0678,37.0678,36.85
2020-01-06,35288,36.81,35.72,36.77,36.77,36.57
2020-01-03,107837,37.24,34.6,36.84,36.84,36.9
2020-01-02,65293,38.47,37.01,37.4134,37.4134,38.47
