date,volume,high,low,adj_close,close,open
2020-01-31,42916,1.55,1.4821,1.52,1.52,1.55
2020-01-30,147630,1.65,1.4815,1.54,1.54,1.49
2020-01-29,23619,1.525,1.48,1.49,1.49,1.5131
2020-01-28,26006,1.5233,1.45,1.51,1.51,1.5375
2020-01-27,64346,1.54,1.4301,1.52,1.52,1.49
2020-01-24,162458,1.54,1.4479,1.45,1.45,1.49
2020-01-23,111379,1.5801,1.43,1.48,1.48,1.58
2020-01-22,133817,1.61,1.4842,1.57,1.57,1.58
2020-01-21,89010,1.67,1.52,1.55,1.55,1.67
2020-01-17,242062,1.7298,1.54,1.63,1.63,1.58
2020-01-16,169657,1.62,1.54,1.56,1.56,1.5292
2020-01-15,66757,1.55,1.48,1.53,1.53,1.53
2020-01-13,166327,1.63,1.43,1.47,1.47,1.63
2020-01-10,121861,1.59,1.5,1.52,1.52,1.59
2020-01-09,174353,1.6299,1.5,1.6,1.6,1.53
2020-01-08,1141975,1.67,1.38,1.53,1.53,1.41
2020-01-07,198959,1.46,1.38,1.45,1.45,1.42
2020-01-06,302253,1.46,1.38,1.42,1.42,1.45
2020-01-03,191798,1.5299,1.38,1.45,1.45,1.48
2020-01-02,205575,1.53,1.36,1.4456,1.4456,1.51
