date,volume,high,low,adj_close,close,open
2020-01-31,47921,22.965,22.46,22.46,22.46,22.88
2020-01-30,20164,22.96,22.3,22.96,22.96,22.3
2020-01-29,30547,22.6106,22.24,22.42,22.42,22.42
2020-01-28,41435,22.49,22.2,22.33,22.33,22.42
2020-01-27,21848,22.58,22.04,22.25,22.25,22.19
2020-01-24,45139,22.79,22.39,22.39,22.39,22.64
2020-01-23,14411,22.76,22.5,22.62,22.62,22.62
2020-01-22,21980,22.77,22.5,22.67,22.67,22.4919
2020-01-21,48995,23.21,22.28,22.71,22.71,22.52
2020-01-17,59629,23.05,22.2,22.55,22.55,22.7
2020-01-16,350426,22.84,22.43,22.46,22.46,22.43
2020-01-15,36490,22.4,22.005,22.27,22.27,22.2
2020-01-14,61341,22.5,21.97,22.23,22.23,21.97
2020-01-13,93038,22.41,21.815,22.11,22.11,22.13
2020-01-10,55673,22.16,21.61,22.16,22.16,22.1
2020-01-09,38087,22.2935,21.62,22.08,22.08,22.08
2020-01-08,18697,22.29,21.61,22.01,22.01,22
2020-01-07,50850,22.245,21.83,22,22,22.11
2020-01-06,20243,22.2658,22.01,22.16,22.16,22.18
2020-01-03,19790,22.465,22.2,22.3,22.3,22.32
2020-01-02,28759,22.85,22.44,22.6,22.6,22.85
