date,volume,high,low,adj_close,close,open
2020-01-31,4170194,123.878,122,123.56,123.56,123.2
2020-01-30,2901190,126.11,122.32,125.74,125.74,123.3
2020-01-29,2400135,128.05,126.075,126.47,126.47,127.97
2020-01-28,2721345,128.3,125.82,126.93,126.93,128.05
2020-01-27,5136190,127.39,121,126.28,126.28,122
2020-01-24,4103839,134.4,128.31,130,130,134.25
2020-01-23,3855986,134.36,131.17,134.2,134.2,132.22
2020-01-22,3894232,138.86,134.721,134.8,134.8,138.55
2020-01-21,3819153,139,134.4,137.1,137.1,136.49
2020-01-17,3945669,140.99,138.36,139.61,139.61,140.61
2020-01-16,4038339,142.44,138.81,139.49,139.49,142.61
2020-01-15,3272400,141.17,138.39,139.4,139.4,139.57
2020-01-14,4722151,142.2,138.02,140.04,140.04,140.68
2020-01-13,6352475,147.38,141.75,142.26,142.26,147
2020-01-10,6644037,144.76,140.86,144.51,144.51,142.62
2020-01-09,6046244,142.48,140.03,140.86,140.86,141
2020-01-08,3739114,139.16,135.7,137.83,137.83,136.74
2020-01-07,4497964,139.47,135.41,136.7,136.7,138.19
2020-01-06,3874815,136.72,132.51,135.94,135.94,132.78
2020-01-03,4747765,137.16,133.78,133.8,133.8,134.58
2020-01-02,7544284,138.63,129.44,138.22,138.22,129.49
