date,volume,high,low,adj_close,close,open
2020-01-31,183724,15.25,14.52,15.01,15.01,14.52
2020-01-30,113277,14.71,14.26,14.54,14.54,14.3
2020-01-29,41731,14.14,13.98,14.1147,14.1147,13.99
2020-01-28,83846,14.29,13.98,14.07,14.07,14.12
2020-01-27,172235,14.78,14.25,14.4189,14.4189,14.62
2020-01-24,132414,14.3211,13.55,14.2449,14.2449,13.56
2020-01-23,93198,13.822,13.47,13.615,13.615,13.47
2020-01-22,38056,13.425,13.15,13.4074,13.4074,13.225
2020-01-21,70385,13.38,13.1,13.3664,13.3664,13.16
2020-01-17,72428,13.18,12.94,13.1139,13.1139,12.97
2020-01-16,76566,13.17,12.86,13.0146,13.0146,13.02
2020-01-15,58656,13.24,12.96,13.1423,13.1423,13.24
2020-01-14,97678,13.87,13.16,13.2612,13.2612,13.72
2020-01-13,147944,13.94,13.39,13.7302,13.7302,13.39
2020-01-10,49895,13.44,13.11,13.4108,13.4108,13.28
2020-01-09,52023,13.41,13.2,13.3207,13.3207,13.31
2020-01-08,84702,13.77,13.35,13.4631,13.4631,13.73
2020-01-07,40215,13.95,13.62,13.6986,13.6986,13.72
2020-01-06,100751,14.2,13.72,13.7321,13.7321,14.04
2020-01-03,84220,14.03,13.74,13.91,13.91,13.85
2020-01-02,61526,13.76,13.21,13.5817,13.5817,13.21
