date,volume,high,low,adj_close,close,open
2020-01-31,966878,1.34,1.22,1.22,1.22,1.34
2020-01-30,933524,1.4,1.28,1.33,1.33,1.35
2020-01-29,1038609,1.51,1.35,1.4,1.4,1.4
2020-01-28,1629922,1.58,1.4,1.41,1.41,1.58
2020-01-27,1639189,1.771,1.58,1.62,1.62,1.71
2020-01-24,3114471,2.25,1.6315,1.88,1.88,2.25
2020-01-23,1846390,2.35,2.08,2.14,2.14,2.2
2020-01-22,2134171,2.36,2.01,2.13,2.13,2.2
2020-01-21,4125816,2.5,2.04,2.15,2.15,2.5
2020-01-17,8606148,2.79,2.1,2.29,2.29,2.19
2020-01-16,4805852,2.17,1.75,2.1,2.1,1.8
2020-01-15,2128930,1.96,1.67,1.7,1.7,1.81
2020-01-14,1516047,1.81,1.5,1.75,1.75,1.5
2020-01-13,1397692,1.69,1.45,1.49,1.49,1.69
2020-01-10,3138442,1.75,1.44,1.66,1.66,1.44
2020-01-09,1377771,1.49,1.3113,1.41,1.41,1.32
2020-01-08,879269,1.36,1.26,1.33,1.33,1.28
2020-01-07,720821,1.3293,1.2302,1.29,1.29,1.28
2020-01-06,1067487,1.38,1.25,1.28,1.28,1.38
2020-01-03,1862169,1.595,1.37,1.4,1.4,1.49
2020-01-02,2556989,1.595,1.28,1.51,1.51,1.32
