date,volume,high,low,adj_close,close,open
2020-01-31,6225,26.01,25.62,25.62,25.62,26.01
2020-01-30,16155,26.1,25.76,26.06,26.06,25.91
2020-01-29,9179,26.3447,25.9921,26.14,26.14,26.15
2020-01-28,4718,26.2575,26.01,26.17,26.17,26.01
2020-01-27,22128,25.76,25.56,25.91,25.91,25.76
2020-01-24,9630,26.8499,26.4642,26.47,26.47,26.8
2020-01-23,9573,26.69,26.5,26.65,26.65,26.69
2020-01-22,9347,26.9361,26.74,26.79,26.79,26.84
2020-01-21,13051,26.76,26.6,26.6,26.6,26.67
2020-01-17,17041,26.95,26.8282,26.9009,26.9009,26.9
2020-01-16,19221,26.87,26.64,26.775,26.775,26.69
2020-01-15,10700,26.64,26.56,26.6,26.6,26.56
2020-01-14,10578,26.7072,26.56,26.63,26.63,26.67
2020-01-13,10552,26.65,26.5064,26.63,26.63,26.55
2020-01-10,15473,26.58,26.46,26.46,26.46,26.56
2020-01-09,7174,26.5,26.32,26.4639,26.4639,26.48
2020-01-08,18036,26.2745,26.061,26.265,26.265,26.0961
2020-01-07,7678,26.1005,26.03,26.13,26.13,26.03
2020-01-06,10819,25.986,25.64,25.9,25.9,25.73
2020-01-03,6267,26.0366,25.82,25.82,25.82,25.85
2020-01-02,9614,26.4,25.9,26.4,26.4,25.9
