date,volume,high,low,adj_close,close,open
2020-01-31,2230517,10.15,9.65,9.87,9.87,10.02
2020-01-30,2245295,10.15,9.62,9.95,9.95,9.92
2020-01-29,5493870,10.94,9.72,10.02,10.02,10.78
2020-01-28,5300167,10.49,9.47,10.33,10.33,9.54
2020-01-27,3127035,9.34,8.83,9.15,9.15,9.25
2020-01-24,4444252,9.84,9.27,9.7,9.7,9.66
2020-01-23,6408698,9.1,8.69,8.95,8.95,8.9
2020-01-22,7012340,11.3782,9.54,10,10,11.15
2020-01-21,6404690,11.59,10.58,10.96,10.96,11.27
2020-01-17,6740161,12.12,11.08,12.04,12.04,11.22
2020-01-16,5337019,11.31,10.48,11.06,11.06,10.98
2020-01-15,3326524,10.69,10.03,10.62,10.62,10.33
2020-01-14,7482151,10.39,9.39,10.37,10.37,10.235
2020-01-13,1.213392e+07,10.9319,9.5202,9.81,9.81,9.76
2020-01-10,3236491,9.2,8.6,9.07,9.07,8.67
2020-01-09,2498744,8.6,8.35,8.59,8.59,8.54
2020-01-08,1708406,8.38,8.15,8.2,8.2,8.24
2020-01-07,2699503,8.47,8.09,8.15,8.15,8.44
2020-01-06,3184222,8.39,7.68,8.3,8.3,7.73
2020-01-03,1983891,8.02,7.65,7.81,7.81,7.68
2020-01-02,2981073,8,7.3211,8,8,7.42
