date,volume,high,low,adj_close,close,open
2020-01-31,162237,14.58,13.75,13.79,13.79,14.58
2020-01-30,96170,15.3076,14.61,14.64,14.64,15.05
2020-01-29,86911,15.17,14.83,15.17,15.17,14.97
2020-01-28,131795,15.06,14.6,14.97,14.97,15.06
2020-01-27,199738,15.16,14.1,14.97,14.97,14.85
2020-01-24,94263,15.48,15.02,15.14,15.14,15.48
2020-01-23,95263,15.59,15,15.48,15.48,15.2
2020-01-22,196199,15.8,15.09,15.2,15.2,15.69
2020-01-21,236569,16.24,15.15,15.66,15.66,16.24
2020-01-17,245018,16.29,15.35,16.21,16.21,15.91
2020-01-16,256034,16.1,15.7177,15.9,15.9,16.06
2020-01-15,95646,16.22,15.8,15.9,15.9,15.8
2020-01-14,119974,16.23,15.75,15.83,15.83,16.19
2020-01-13,214638,16.41,15.5005,16.08,16.08,16.41
2020-01-10,164576,17.05,16.335,16.38,16.38,17.05
2020-01-09,188943,18.0513,16.76,17.03,17.03,16.86
2020-01-08,169667,16.86,16,16.8,16.8,16.23
2020-01-07,116632,16.1094,15.27,15.98,15.98,15.87
2020-01-06,107514,16.24,15.8,15.86,15.86,16.24
2020-01-03,65545,16.48,16,16.26,16.26,16.3
2020-01-02,63950,16.43,15.988,16.4,16.4,16.36
