date,volume,high,low,adj_close,close,open
2020-01-31,18056,2.4,2.31,2.36,2.36,2.31
2020-01-30,36772,2.43,2.3,2.31,2.31,2.36
2020-01-29,20165,2.53,2.39,2.4096,2.4096,2.48
2020-01-28,80909,2.4898,2.37,2.48,2.48,2.37
2020-01-27,125387,2.56,2.37,2.4,2.4,2.55
2020-01-24,134601,2.6,2.412,2.6,2.6,2.51
2020-01-23,73434,2.49,2.42,2.46,2.46,2.44
2020-01-22,233773,2.51,2.4,2.45,2.45,2.48
2020-01-21,124116,2.57,2.42,2.49,2.49,2.44
2020-01-17,76645,2.52,2.43,2.48,2.48,2.47
2020-01-16,110697,2.49,2.32,2.47,2.47,2.4
2020-01-15,137361,2.51,2.38,2.4,2.4,2.5
2020-01-14,414819,2.56,2.32,2.47,2.47,2.56
2020-01-13,55990,2.46,2.32,2.39,2.39,2.46
2020-01-10,55329,2.46,2.3703,2.41,2.41,2.42
2020-01-09,34989,2.46,2.37,2.46,2.46,2.4
2020-01-08,77677,2.43,2.35,2.42,2.42,2.4
2020-01-07,66619,2.45,2.36,2.39,2.39,2.39
2020-01-06,66312,2.44,2.34,2.38,2.38,2.36
2020-01-03,46500,2.42,2.2501,2.39,2.39,2.34
2020-01-02,44934,2.4,2.25,2.34,2.34,2.25
