date,volume,high,low,adj_close,close,open
2020-01-31,21540,80.15,80.04,80.1273,80.1273,80.04
2020-01-30,36783,80.08,79.98,80,80,80
2020-01-29,22875,79.96,79.85,79.9477,79.9477,79.85
2020-01-28,17253,79.8,79.7048,79.739,79.739,79.8
2020-01-27,49473,79.91,79.83,79.91,79.91,79.87
2020-01-24,46791,79.64,79.49,79.59,79.59,79.49
2020-01-23,33264,79.4772,79.4016,79.46,79.46,79.41
2020-01-22,31741,79.28,79.2146,79.27,79.27,79.23
2020-01-21,39135,79.41,79.1071,79.2,79.2,79.41
2020-01-17,45708,79.06,78.969,79.015,79.015,78.97
2020-01-16,34353,79.05,79,79.05,79.05,79.03
2020-01-15,80092,79.06,78.96,79.045,79.045,79.03
2020-01-14,23386,78.91,78.86,78.91,78.91,78.86
2020-01-13,29861,78.87,78.8,78.8594,78.8594,78.86
2020-01-10,56118,78.95,78.85,78.9088,78.9088,78.87
2020-01-09,31455,78.82,78.6366,78.8134,78.8134,78.72
2020-01-08,50918,78.8936,78.7,78.7557,78.7557,78.83
2020-01-07,22427,78.95,78.88,78.9,78.9,78.95
2020-01-06,30179,79.07,78.91,78.95,78.95,79.07
2020-01-03,101875,79.02,78.76,78.995,78.995,78.76
2020-01-02,41478,78.83,78.7,78.76,78.76,78.72
