date,volume,high,low,adj_close,close,open
2020-01-31,3516,26.55,26.37,26.55,26.55,26.425
2020-01-30,1408,26.55,26.4198,26.4198,26.4198,26.4577
2020-01-29,4923,26.3701,26.25,26.31,26.31,26.37
2020-01-28,1078,26.2513,26.2236,26.2513,26.2513,26.2236
2020-01-27,4771,26.54,26.27,26.54,26.54,26.33
2020-01-24,2303,26.552,26.31,26.42,26.42,26.5503
2020-01-23,8065,26.47,26.3,26.3,26.3,26.4
2020-01-22,70,26.4,26.4,26.4,26.4,26.44
2020-01-21,3003,26.44,26.4,26.43,26.43,26.44
2020-01-17,4536,26.47,26.41,26.4318,26.4318,26.47
2020-01-16,3233,26.47,26.31,26.46,26.46,26.32
2020-01-15,6310,26.46,26.3115,26.41,26.41,26.46
2020-01-14,3342,26.46,26.31,26.46,26.46,26.38
2020-01-13,5683,26.46,26.39,26.46,26.46,26.38
2020-01-10,1991,26.41,26.33,26.41,26.41,26.38
2020-01-09,6001,26.46,26.1896,26.46,26.46,26.1896
2020-01-08,4729,26.34,26.186,26.34,26.34,26.2792
2020-01-07,5292,26.2658,26.19,26.25,26.25,26.2484
2020-01-06,7554,26.28,26.18,26.28,26.28,26.265
2020-01-03,7866,26.33,26.03,26.33,26.33,26.03
2020-01-02,28934,26.17,25.99,26.135,26.135,26.16
