date,volume,high,low,adj_close,close,open
2020-01-31,92763,15.76,15,15.08,15.08,15.51
2020-01-30,71223,16.12,15.0023,15.64,15.64,15.73
2020-01-29,54242,16.39,15.8,15.84,15.84,16.39
2020-01-28,52901,16.67,16.31,16.37,16.37,16.44
2020-01-27,171698,16.7,15.8,16.37,16.37,16.05
2020-01-24,134414,16.43,16.025,16.25,16.25,16.19
2020-01-23,228089,16.44,16.12,16.33,16.33,16.37
2020-01-22,349895,16.675,16.27,16.46,16.46,16.43
2020-01-21,103816,16.69,16.29,16.45,16.45,16.41
2020-01-17,85968,16.665,16.25,16.47,16.47,16.6
2020-01-16,216695,16.565,16.12,16.51,16.51,16.15
2020-01-15,237203,16.29,16.08,16.22,16.22,16.16
2020-01-13,165578,16.58,15.83,16.34,16.34,16
2020-01-10,130636,16.2,15.97,16.03,16.03,16.07
2020-01-09,421740,16.225,16.01,16.1,16.1,16.1
2020-01-08,486922,16.51,16.02,16.14,16.14,16.19
2020-01-07,239400,16.41,16.01,16.23,16.23,16.3
2020-01-06,169999,16.67,16.27,16.43,16.43,16.59
2020-01-03,238952,16.81,16.14,16.68,16.68,16.17
2020-01-02,150869,16.37,15.81,16.32,16.32,16.09
