date,volume,high,low,adj_close,close,open
2020-01-31,2596,25.23,25.19,25.215,25.215,25.2098
2020-01-30,6871,25.23,25.2146,25.2146,25.2146,25.23
2020-01-29,4089,25.23,25.2038,25.215,25.215,25.204
2020-01-28,743,25.21,25.17,25.1891,25.1891,25.21
2020-01-27,4828,25.21,25.1955,25.1955,25.1955,25.1866
2020-01-24,801,25.2,25.18,25.18,25.18,25.1866
2020-01-23,3394,25.19,25.1772,25.19,25.19,25.1766
2020-01-22,2655,25.18,25.17,25.18,25.18,25.17
2020-01-21,158,25.1524,25.15,25.15,25.15,25.1524
2020-01-17,4838,25.18,25.16,25.16,25.16,25.164
2020-01-16,2001,25.18,25.18,25.18,25.18,25.18
2020-01-15,13567,25.17,25.13,25.16,25.16,25.17
2020-01-13,6945,25.16,25.13,25.13,25.13,25.16
2020-01-09,4690,25.14,25.1321,25.135,25.135,25.1398
2020-01-08,12064,25.16,25.14,25.15,25.15,25.15
2020-01-07,465,25.14,25.12,25.12,25.12,25.14
2020-01-06,34556,25.14,25.1097,25.115,25.115,25.13
2020-01-03,3670,25.13,25.0932,25.1,25.1,25.13
2020-01-02,4815,25.09,25.0847,25.085,25.085,25.085
