date,volume,high,low,adj_close,close,open
2020-01-31,24721,27.41,26.72,26.78,26.78,27.33
2020-01-30,25290,27.41,26.87,27.4,27.4,27.01
2020-01-29,21007,27.6,27.13,27.17,27.17,27.6
2020-01-28,32656,27.83,27.49,27.68,27.68,27.83
2020-01-27,27437,28.16,27.59,27.81,27.81,27.69
2020-01-24,32153,28.28,27.895,28.04,28.04,28.21
2020-01-23,53330,28.29,27.68,28.11,28.11,27.74
2020-01-22,37782,28.02,27.495,27.74,27.74,27.78
2020-01-21,39081,28.3,27.755,27.85,27.85,27.8
2020-01-17,29136,27.98,27.63,27.82,27.82,27.98
2020-01-16,52966,27.72,27.45,27.7,27.7,27.45
2020-01-15,20025,27.89,27.33,27.47,27.47,27.75
2020-01-14,59243,28.12,27.8,27.92,27.92,28.08
2020-01-13,15643,28.26,27.77,28.16,28.16,27.94
2020-01-10,21954,28.36,27.84,27.95,27.95,28.36
2020-01-09,18462,28.79,28.25,28.26,28.26,28.62
2020-01-08,18341,28.62,28.25,28.51,28.51,28.45
2020-01-07,13715,28.98,28.43,28.43,28.43,28.77
2020-01-06,29153,29.07,28.7,28.89,28.89,28.87
2020-01-03,14919,29.25,28.552,29.03,29.03,28.92
2020-01-02,32899,29.25,28.925,29.21,29.21,29.25
