date,volume,high,low,adj_close,close,open
2020-01-31,38962,15.6,14.56,15.14,15.14,14.56
2020-01-30,25252,15.37,14.57,14.67,14.67,14.82
2020-01-29,93956,15.56,14.89,15.01,15.01,15.46
2020-01-28,28293,15.99,15.07,15.49,15.49,15.56
2020-01-27,66101,15.93,15.16,15.48,15.48,15.93
2020-01-24,22906,16.725,16.25,16.28,16.28,16.59
2020-01-23,39388,17.0473,16.5,16.7,16.7,16.75
2020-01-22,34536,17.21,16.75,16.97,16.97,16.89
2020-01-21,77746,17.96,16.52,16.81,16.81,17.9
2020-01-17,113010,18.07,17.4,17.96,17.96,17.87
2020-01-16,80438,18.43,17.58,17.65,17.65,18.43
2020-01-15,60843,18.83,17.49,18.23,18.23,17.73
2020-01-14,64174,18,17.5,17.6,17.6,17.75
2020-01-13,120941,19.52,17.41,17.94,17.94,18.99
2020-01-10,110960,18.6206,16.6587,18.47,18.47,17.22
2020-01-09,31588,16.15,15.55,16.1,16.1,15.65
2020-01-08,40253,15.77,15.16,15.49,15.49,15.4
2020-01-07,62494,15.56,14.81,15.28,15.28,15.2
2020-01-06,50393,15.26,14.7,15.03,15.03,15
2020-01-03,44035,15.565,15,15.08,15.08,15.42
2020-01-02,19309,15.55,15.25,15.5,15.5,15.54
