date,volume,high,low,adj_close,close,open
2020-01-31,240225,37.93,36.8,37.22,37.22,36.8
2020-01-30,467500,40,36.29,37.61,37.61,38
2020-01-29,209199,37.2585,36.52,36.62,36.62,37.12
2020-01-28,166657,37.33,36.87,37.05,37.05,36.87
2020-01-27,202127,37.48,36.79,36.83,36.83,37.29
2020-01-24,264654,38.14,37.235,37.69,37.69,38.14
2020-01-23,258598,38.17,37.5,38.15,38.15,37.69
2020-01-22,206608,38.14,37.26,37.89,37.89,37.26
2020-01-21,200207,37.49,37.04,37.26,37.26,37.08
2020-01-17,278553,37.7063,36.691,37.21,37.21,37.68
2020-01-16,326540,37.88,37.35,37.57,37.57,37.35
2020-01-15,251041,38.225,36.8,37.24,37.24,37.99
2020-01-14,188937,38.67,38.14,38.2,38.2,38.28
2020-01-13,244097,38.37,37.83,38.35,38.35,37.87
2020-01-10,199442,38.57,37.67,37.84,37.84,38.11
2020-01-09,732280,39.15,37.98,38.3,38.3,38.05
2020-01-08,321441,38.075,36.52,37.98,37.98,36.52
2020-01-07,267452,36.8967,36.23,36.63,36.63,36.23
2020-01-06,267360,36.35,35.5,36.19,36.19,35.55
2020-01-03,269069,36.2,34.49,36.05,36.05,35.74
2020-01-02,365075,37.1,35.915,36.17,36.17,36.89
