date,volume,high,low,adj_close,close,open
2020-01-31,27206,39.91,39.3,39.46,39.46,39.85
2020-01-30,3752,39.95,39.65,39.95,39.95,39.43
2020-01-29,27695,40.2955,39.9595,39.9595,39.9595,40.2955
2020-01-28,8334,40.02,39.73,39.94,39.94,39.9155
2020-01-27,75205,39.86,39.38,39.5175,39.5175,39.86
2020-01-24,8831,40.94,40.235,40.27,40.27,40.61
2020-01-23,5276,40.71,40.4,40.6,40.6,40.71
2020-01-22,10130,40.88,40.62,40.62,40.62,40.88
2020-01-21,9643,40.6545,40.5347,40.555,40.555,40.55
2020-01-17,24296,40.76,40.565,40.76,40.76,40.68
2020-01-16,4867,40.47,40.3,40.47,40.47,40.3822
2020-01-15,20174,40.3099,40.08,40.1467,40.1467,40.29
2020-01-14,12216,40.28,40.08,40.096,40.096,40.28
2020-01-13,71273,40.21,40,40.13,40.13,40.21
2020-01-10,20920,40.18,39.8953,39.9017,39.9017,40.18
2020-01-09,20982,40.04,39.84,40.04,40.04,39.94
2020-01-08,10926,39.8771,39.5595,39.7254,39.7254,39.6291
2020-01-07,7478,39.77,39.47,39.53,39.53,39.77
2020-01-06,45968,39.66,39.1764,39.66,39.66,39.4
2020-01-03,10084,39.6016,39.5,39.56,39.56,39.58
2020-01-02,16142,39.83,39.53,39.83,39.83,39.83
