date,volume,high,low,adj_close,close,open
2020-01-31,41384,17.63,17,17.12,17.12,17.12
2020-01-30,33519,17.27,16.91,17.25,17.25,17
2020-01-29,26717,17.435,16.98,16.98,16.98,17.39
2020-01-28,51375,17.48,17,17.34,17.34,17.1
2020-01-27,50083,17.39,16.88,16.98,16.98,16.88
2020-01-24,92074,17.655,16.79,17.15,17.15,17.54
2020-01-23,67528,17.8,16.81,17.52,17.52,17.05
2020-01-22,56040,17.255,16.86,17.15,17.15,17.05
2020-01-21,119434,17.84,16.8518,17.01,17.01,17.45
2020-01-17,140526,17.68,16.72,17.58,17.58,17.27
2020-01-16,92533,17.13,16.25,17.08,17.08,16.43
2020-01-15,85373,17.08,16.1896,16.33,16.33,16.45
2020-01-14,67678,16.92,16.31,16.6,16.6,16.62
2020-01-13,152424,16.72,15.61,16.59,16.59,15.79
2020-01-10,109684,16.06,15.33,15.71,15.71,15.76
2020-01-09,103565,16,15,15.71,15.71,15
2020-01-08,148453,15.65,14.59,14.92,14.92,15.18
2020-01-07,79666,15.72,14.89,15.18,15.18,15.1
2020-01-06,130747,15.65,15.0276,15.15,15.15,15.51
2020-01-03,54916,16.27,15.58,15.66,15.66,16.01
2020-01-02,68430,16.6,15.84,15.88,15.88,16.6
