date,volume,high,low,adj_close,close,open
2020-01-31,514799,124.19,122.341,123.22,123.22,122.47
2020-01-30,406280,123.3,121.17,123.18,123.18,121.2
2020-01-29,382981,122.72,120.38,121.5,121.5,120.95
2020-01-28,597609,122.18,119.71,121.2,121.2,120.1
2020-01-27,577411,121.605,119.05,119.73,119.73,119.25
2020-01-24,403932,120.29,118.87,119.81,119.81,120
2020-01-23,295555,119.98,117.81,119.62,119.62,118.39
2020-01-22,577078,119.97,117.89,118.72,118.72,119.49
2020-01-21,637401,117.8,116.275,117.39,117.39,116.4
2020-01-17,624136,117.76,116.02,116.53,116.53,117.33
2020-01-16,502640,117.73,116.29,117.53,117.53,116.76
2020-01-15,824311,116.97,114.97,116.87,116.87,115.74
2020-01-14,684438,116.22,114.76,115.49,115.49,114.99
2020-01-13,695474,116.02,114.452,115.09,115.09,115.77
2020-01-10,886516,116.52,115.81,115.85,115.85,116.6
2020-01-09,733836,117.38,115.88,116.01,116.01,117.31
2020-01-08,1023156,118.45,115.71,117.01,117.01,117.75
2020-01-07,502311,119.99,118.07,118.22,118.22,119.99
2020-01-06,601208,121.24,119.29,120.19,120.19,120.49
2020-01-03,518029,122.12,119.39,121.33,121.33,119.03
2020-01-02,457868,120.18,118.28,119.52,119.52,119.7
