date,volume,high,low,adj_close,close,open
2020-01-31,290349,155.93,152.51,152.93,152.93,155.73
2020-01-30,195033,157.456,154.86,155.79,155.79,156.21
2020-01-29,191740,157.57,156,156.9,156.9,157.2
2020-01-28,196444,158,156.61,156.86,156.86,157.27
2020-01-27,210853,157.9,155.36,156.14,156.14,156.21
2020-01-24,242535,160.23,156.6,157.77,157.77,159.92
2020-01-23,207472,159.79,156.73,159.55,159.55,158.69
2020-01-22,250923,159.626,158.14,158.715,158.715,159.07
2020-01-21,283816,159.98,156.01,157.92,157.92,159.89
2020-01-17,268691,160.43,158.685,159.41,159.41,160
2020-01-16,417098,161.65,159.27,159.38,159.38,161.18
2020-01-15,469200,163.97,161.645,162.63,162.63,162.18
2020-01-14,545183,162.355,158.15,162.29,162.29,158.15
2020-01-13,519757,159.91,157.92,158.5,158.5,158.5
2020-01-10,407180,158.4,155.113,158.32,158.32,155.46
2020-01-09,292248,156.99,154.775,154.93,154.93,156.84
2020-01-08,243793,157.23,154.723,156.71,156.71,154.92
2020-01-07,260199,155.709,154.15,154.87,154.87,155.42
2020-01-06,250764,156.89,154.77,156.21,156.21,155.27
2020-01-03,223172,155.83,153.111,155.43,155.43,153.84
2020-01-02,338936,154.67,152.26,154.58,154.58,154.1
