date,volume,high,low,adj_close,close,open
2020-01-31,224650,72.88,70.73,70.93,70.93,72.48
2020-01-30,196116,73.35,72.1542,72.46,72.46,72.97
2020-01-29,183628,74.05,73.055,73.71,73.71,73.96
2020-01-28,151367,74.46,73.4,74.07,74.07,73.43
2020-01-27,118580,73.23,72.12,73.05,73.05,72.15
2020-01-24,161845,73.36,72.665,72.87,72.87,73.25
2020-01-23,153166,73.09,71.96,72.94,72.94,72.6
2020-01-22,159707,74,72.7,72.74,72.74,73.92
2020-01-21,201678,73.865,72.72,73.76,73.76,72.91
2020-01-17,165649,73.76,72.8,73.23,73.23,73.76
2020-01-16,186931,73.38,72.26,73.28,73.28,72.72
2020-01-15,280230,72.2,70.96,72.13,72.13,70.96
2020-01-14,231799,71.12,70.38,70.96,70.96,70.87
2020-01-13,173611,71.19,69.97,71.1,71.1,70.06
2020-01-10,249560,70.8441,69.1543,69.98,69.98,70.83
2020-01-09,441875,70.96,69.15,70.5,70.5,69.24
2020-01-08,328658,69.795,68.24,69.24,69.24,68.24
2020-01-07,222854,68.12,67.04,68.02,68.02,67.42
2020-01-06,212377,67.75,66.13,67.67,67.67,66.26
2020-01-03,226064,66.81,65.12,66.69,66.69,65.92
2020-01-02,173974,66.16,65.2,65.5,65.5,65.81
