date,volume,high,low,adj_close,close,open
2020-01-31,901414,133.7,129.92,130.45,130.45,133.39
2020-01-30,931804,134.715,132.75,133.83,133.83,133.24
2020-01-29,710690,136.47,134.34,134.86,134.86,135.9
2020-01-28,1073296,135.73,133.975,135.46,135.46,134.66
2020-01-27,696958,135.98,133.76,133.87,133.87,135.48
2020-01-24,661242,139.49,137.16,137.92,137.92,139.04
2020-01-23,882852,138.85,135.47,138.73,138.73,136.58
2020-01-22,1064153,138.24,136.35,136.58,136.58,137.18
2020-01-21,1296837,138.1,135.834,136.08,136.08,136.14
2020-01-17,2261213,141.62,136.08,136.85,136.85,140.89
2020-01-16,798919,146.05,143.58,144.2,144.2,145.48
2020-01-15,728452,145.39,143.44,144.6,144.6,143.89
2020-01-14,824656,145.06,142.795,143.96,143.96,143.35
2020-01-13,1266009,143.72,141.86,143.35,143.35,142.76
2020-01-10,583867,143.93,141.26,142.36,142.36,142.42
2020-01-09,814054,143,141.05,141.97,141.97,141.28
2020-01-08,823412,141.84,140.34,140.71,140.71,141.01
2020-01-07,767872,141.78,140.67,140.92,140.92,141.19
2020-01-06,766961,141.48,140.295,141.08,141.08,141
2020-01-03,840912,143.44,141.81,142.15,142.15,141.99
2020-01-02,1060700,144.49,141.775,143.88,143.88,144.49
