date,volume,high,low,adj_close,close,open
2020-01-31,376024,5.55,5.23,5.4,5.4,5.51
2020-01-30,137996,5.66,5.47,5.57,5.57,5.56
2020-01-29,500008,5.73,5.41,5.59,5.59,5.73
2020-01-28,528167,6.18,5.64,5.75,5.75,6
2020-01-27,327892,6.11,5.9,5.97,5.97,6
2020-01-24,1071640,6.37,6.015,6.07,6.07,6.08
2020-01-23,675543,6.08,5.56,6,6,5.77
2020-01-22,1255361,6.1,5.66,5.765,5.765,5.76
2020-01-21,1111683,5.76,5.25,5.74,5.74,5.29
2020-01-17,694333,5.3,5.07,5.24,5.24,5.1
2020-01-16,611231,5.07,4.74,5.05,5.05,4.77
2020-01-15,194189,4.89,4.775,4.83,4.83,4.85
2020-01-14,190857,4.868,4.74,4.81,4.81,4.8
2020-01-13,342049,4.87,4.56,4.81,4.81,4.62
2020-01-10,226820,4.86,4.56,4.62,4.62,4.7
2020-01-09,423477,4.74,4.375,4.69,4.69,4.45
2020-01-08,347252,4.45,4.26,4.39,4.39,4.27
2020-01-07,1168060,4.5,4.11,4.255,4.255,4.5
2020-01-06,267293,4.65,4.49,4.52,4.52,4.58
2020-01-03,267525,4.7,4.53,4.65,4.65,4.7
2020-01-02,243932,4.85,4.71,4.75,4.75,4.83
