date,volume,high,low,adj_close,close,open
2020-01-31,328805,2.13,1.73,1.87,1.87,2
2020-01-30,23986,2.16,2.12,2.15,2.15,2.14
2020-01-29,42227,2.24,2.11,2.16,2.16,2.11
2020-01-28,88366,2.29,2.08,2.15,2.15,2.08
2020-01-27,48108,2.14,2.05,2.1,2.1,2.13
2020-01-24,33437,2.17,2.053,2.17,2.17,2.08
2020-01-23,71533,2.14,2.0205,2.1052,2.1052,2.11
2020-01-22,50772,2.1394,2.05,2.11,2.11,2.05
2020-01-21,101776,2.15,2.03,2.06,2.06,2.07
2020-01-17,36235,2.09,1.98,2.05,2.05,1.99
2020-01-16,57818,2,1.98,1.99,1.99,2
2020-01-15,138655,2,1.97,2,2,1.98
2020-01-14,57997,2,1.92,1.98,1.98,2
2020-01-13,255449,2.24,1.98,2,2,2.15
2020-01-10,196973,2.1,2.01,2.01,2.01,2.1
2020-01-09,481428,2.37,1.85,2.24,2.24,1.85
2020-01-08,43092,1.8298,1.72,1.8,1.8,1.72
2020-01-07,97049,1.8072,1.7,1.75,1.75,1.71
2020-01-06,23599,1.75,1.7,1.7,1.7,1.75
2020-01-03,22997,1.76,1.7145,1.73,1.73,1.72
2020-01-02,26108,1.8027,1.72,1.73,1.73,1.74
