date,volume,high,low,adj_close,close,open
2020-01-31,16076,28.4881,28.02,28.1,28.1,28.34
2020-01-30,23418,28.3,28.05,28.28,28.28,28.26
2020-01-29,9750,28.39,28.1,28.29,28.29,28.19
2020-01-28,7912,28.1,27.7764,28.1,28.1,27.99
2020-01-27,9377,28.11,27.93,27.98,27.98,28.11
2020-01-24,11974,28.2296,27.9,28,28,27.99
2020-01-23,12709,28.2061,27.79,27.79,27.79,28.07
2020-01-22,65679,28.37,27.9,28.32,28.32,28
2020-01-21,18226,28.4232,27.97,28.24,28.24,27.99
2020-01-17,13472,28.25,27.76,27.76,27.76,28.25
2020-01-16,17510,28.672,28.01,28.3,28.3,28.64
2020-01-15,14157,28.7,28.5278,28.67,28.67,28.61
2020-01-14,18476,28.7409,28.6,28.6,28.6,28.69
2020-01-13,23871,28.94,27.9937,28.44,28.44,28.18
2020-01-10,14146,28.15,27.52,28.095,28.095,27.85
2020-01-09,13604,28,27.82,27.83,27.83,28
2020-01-08,12672,27.94,27.63,27.86,27.86,27.63
2020-01-07,15699,27.75,27.5,27.5,27.5,27.74
2020-01-06,21520,27.8218,27.6,27.6,27.6,27.74
2020-01-03,16283,27.76,27.14,27.76,27.76,27.14
2020-01-02,8648,27.62,27.1964,27.62,27.62,27.32
