date,volume,high,low,adj_close,close,open
2020-01-31,1777474,521.69,495,517.46,517.46,504.76
2020-01-30,1027328,494.33,484.96,492.98,492.98,486.88
2020-01-29,1081931,499.065,487.82,490.74,490.74,498.32
2020-01-28,1018400,507.45,498.81,499.34,499.34,501.73
2020-01-27,1008449,507.36,498.28,504.08,504.08,499.14
2020-01-24,1054025,514.07,503.9,504.67,504.67,512.63
2020-01-23,880473,516.7,505.49,513.14,513.14,509.63
2020-01-22,1279769,512.79,505.405,510.76,510.76,505.54
2020-01-21,840819,506.71,498.96,503.59,503.59,501.28
2020-01-17,1221810,512.03,501.33,502.73,502.73,512.03
2020-01-16,1030501,513.71,506.155,508.78,508.78,507
2020-01-15,582771,517.06,507.045,515.4,515.4,510.15
2020-01-14,1088695,512.7,506.36,509.62,509.62,508.47
2020-01-13,831554,512.65,504.93,510.15,510.15,506.04
2020-01-10,511618,508.85,503.73,505.03,505.03,507.79
2020-01-09,872057,508.86,501.5,507.28,507.28,501.5
2020-01-08,1030294,509.99,498.55,500.77,500.77,499
2020-01-07,997605,500.65,495.55,499.16,499.16,497.13
2020-01-06,686791,498.15,490.93,497.45,497.45,492.66
2020-01-03,932432,496.56,485.53,494.47,494.47,485.53
2020-01-02,1294091,491.41,480.59,490.43,490.43,487.41
