date,volume,high,low,adj_close,close,open
2020-01-31,18151,13.36,12.5997,12.72,12.72,13.53
2020-01-30,9174,13.5,13.24,13.24,13.24,13.48
2020-01-29,9930,14.06,13.4,13.46,13.46,13.92
2020-01-28,9981,14.1699,13.8658,14.06,14.06,13.8658
2020-01-27,10871,14.335,13.84,13.84,13.84,14.03
2020-01-24,15530,14.4593,13.83,14.26,14.26,13.96
2020-01-23,14752,14.39,13.91,14.21,14.21,13.91
2020-01-22,19638,14.42,13.84,13.84,13.84,14.15
2020-01-21,14375,14.39,14.22,14.3,14.3,14.22
2020-01-17,12092,14.41,14.14,14.14,14.14,14.39
2020-01-16,11466,14.245,13.83,14.22,14.22,13.83
2020-01-15,13660,13.85,13.6,13.63,13.63,13.61
2020-01-14,18596,14.195,13.73,13.73,13.73,14.18
2020-01-13,9006,14.2601,14.03,14.18,14.18,14.24
2020-01-10,16392,14.445,14.01,14.08,14.08,14.25
2020-01-09,20467,14.25,13.865,14.25,14.25,13.97
2020-01-08,11926,13.97,13.81,13.83,13.83,13.92
2020-01-07,9514,13.96,13.8,13.87,13.87,13.85
2020-01-06,6674,13.93,13.55,13.84,13.84,13.55
2020-01-03,10761,13.957,13.73,13.73,13.73,13.94
2020-01-02,4077,14,13.83,13.93,13.93,14
