date,volume,high,low,adj_close,close,open
2020-01-31,26088,2.53,2.35,2.35,2.35,2.53
2020-01-30,36021,2.66,2.45,2.47,2.47,2.6875
2020-01-29,54429,2.78,2.53,2.6004,2.6004,2.78
2020-01-28,49686,2.8,2.6118,2.78,2.78,2.75
2020-01-27,437274,3.15,2.4429,2.6078,2.6078,2.4463
2020-01-24,10166,2.5642,2.42,2.4501,2.4501,2.5642
2020-01-23,11940,2.55,2.41,2.43,2.43,2.41
2020-01-22,7619,2.564,2.4,2.52,2.52,2.47
2020-01-21,20463,2.4722,2.36,2.4231,2.4231,2.37
2020-01-17,25071,2.4902,2.39,2.41,2.41,2.46
2020-01-16,24142,2.5799,2.45,2.4936,2.4936,2.48
2020-01-15,24530,2.65,2.46,2.4775,2.4775,2.65
2020-01-14,62705,2.7152,2.55,2.64,2.64,2.65
2020-01-13,201563,2.8,2.35,2.6501,2.6501,2.4594
2020-01-10,8509,2.4725,2.34,2.449,2.449,2.4725
2020-01-09,2786,2.43,2.33,2.35,2.35,2.3301
2020-01-08,15844,2.39,2.3502,2.38,2.38,2.4595
2020-01-07,6432,2.43,2.3375,2.39,2.39,2.3375
2020-01-06,56558,2.5999,2.3001,2.4632,2.4632,2.34
2020-01-03,16355,2.38,2.24,2.37,2.37,2.26
2020-01-02,1512,2.27,2.24,2.27,2.27,2.254
