date,volume,high,low,adj_close,close,open
2020-01-31,82041,5.67,5.34,5.57,5.57,5.59
2020-01-30,142056,5.87,5.31,5.71,5.71,5.72
2020-01-29,209645,6.0574,5.79,5.8,5.8,5.86
2020-01-28,197559,5.94,5.69,5.86,5.86,5.69
2020-01-27,162276,5.83,5.45,5.7,5.7,5.61
2020-01-24,153995,6,5.58,5.69,5.69,5.95
2020-01-23,213103,6.24,5.87,5.93,5.93,6.22
2020-01-22,113160,6.705,6.32,6.37,6.37,6.67
2020-01-21,176141,7.2,6.62,6.69,6.69,7.16
2020-01-17,114095,7.58,7.21,7.3,7.3,7.56
2020-01-16,182039,7.7,7.27,7.45,7.45,7.45
2020-01-15,321094,8.27,7.15,7.46,7.46,7.89
2020-01-14,197045,8.1489,7.12,7.83,7.83,7.15
2020-01-13,136569,7.2,6.8,7.16,7.16,7.19
2020-01-10,186288,7.84,6.87,7.11,7.11,7.64
2020-01-09,141329,7.88,7.56,7.61,7.61,7.77
2020-01-08,200643,7.95,7.445,7.69,7.69,7.81
2020-01-07,175611,8,7.45,7.84,7.84,7.57
2020-01-06,189301,7.85,7.42,7.57,7.57,7.75
2020-01-03,181569,8.11,7.32,7.79,7.79,7.65
2020-01-02,340828,8.18,7.02,7.85,7.85,7.25
