date,volume,high,low,adj_close,close,open
2020-01-31,1593,4,3.81,3.81,3.81,4
2020-01-30,1633,3.95,3.8,3.8,3.8,4
2020-01-29,1115,3.94,3.9,3.94,3.94,3.9231
2020-01-28,100,3.9,3.9,3.9,3.9,3.9
2020-01-27,4372,3.99,3.9,3.9,3.9,3.94
2020-01-24,5320,3.9848,3.9448,3.95,3.95,3.9448
2020-01-23,23553,4.0002,3.95,3.95,3.95,3.9721
2020-01-21,3931,4.09,3.96,4.09,4.09,3.9642
2020-01-17,6337,4.0144,3.99,3.99,3.99,3.9698
2020-01-16,1224,3.97,3.96,3.96,3.96,3.96
2020-01-15,129,3.95,3.95,3.95,3.95,4.02
2020-01-14,81,3.95,3.95,3.95,3.95,4.02
2020-01-13,31060,4.04,3.99,4,4,4.02
2020-01-10,3178,4.02,3.99,4.0177,4.0177,4
2020-01-09,1553,4,4,4,4,4
2020-01-08,21,4,4,4,4,4.05
2020-01-07,1640,4.06,4.03,4.0304,4.0304,4.05
2020-01-06,647,4.1,4,4,4,4.0203
2020-01-03,1374,4.05,4,4,4,4
2020-01-02,14740,4.14,4,4.04,4.04,4.1394
