date,volume,high,low,adj_close,close,open
2020-01-31,214180,20.19,19.33,20.115,20.115,19.91
2020-01-30,163251,20.37,19.71,19.99,19.99,20
2020-01-29,275276,21,19.93,20.21,20.21,21
2020-01-28,476348,21.5,20.68,20.85,20.85,21
2020-01-27,251344,21.23,20.262,21.01,21.01,20.34
2020-01-24,303888,21.65,20.74,20.95,20.95,21.65
2020-01-23,251496,21.7685,20.36,21.17,21.17,21.5
2020-01-22,436227,22.17,21.15,21.69,21.69,21.7
2020-01-21,639964,23.3,21.41,21.56,21.56,23.3
2020-01-17,211544,24.37,23.39,23.41,23.41,23.92
2020-01-16,287778,24.72,23.64,23.92,23.92,24.37
2020-01-15,583452,24.66,23.64,24.1,24.1,23.89
2020-01-14,422352,23.87,23.1,23.565,23.565,23.87
2020-01-13,408778,24.07,23.2247,23.99,23.99,23.5
2020-01-10,325026,23.6473,23.0101,23.3,23.3,23.41
2020-01-09,451266,23.58,22.54,23.19,23.19,22.59
2020-01-08,928678,22.67,20.56,22.13,22.13,20.97
2020-01-07,217798,20.315,19.28,19.93,19.93,20.28
2020-01-06,241744,20.91,20.14,20.31,20.31,20.69
2020-01-03,273886,21.66,20.55,20.59,20.59,21.15
2020-01-02,270221,21.63,20.56,21.6,21.6,20.88
