date,volume,high,low,adj_close,close,open
2020-01-31,1460223,309.18,304.62,305.52,305.52,308.55
2020-01-30,1209090,309.64,306.665,309.47,309.47,308.84
2020-01-29,1298544,311.97,309.385,309.58,309.58,310.86
2020-01-28,1167990,311.71,309.11,310.85,310.85,310.51
2020-01-27,1627338,311.77,305.65,309.45,309.45,306.15
2020-01-24,1723214,314.23,309.11,310.51,310.51,314.02
2020-01-23,1346422,313.4,310.75,312.88,312.88,312.02
2020-01-22,1907075,313.56,310.21,311.89,311.89,313.4
2020-01-21,2762263,313.34,305.81,313.26,313.26,306.2
2020-01-17,2322075,305.3,303.03,304.68,304.68,303.4
2020-01-16,1707057,304.06,301,303.03,303.03,301.39
2020-01-15,1494172,301.04,298.072,300.82,300.82,298.35
2020-01-14,1304113,301,298.685,299.75,299.75,299.25
2020-01-13,1413046,300.645,296.8,299.87,299.87,296.92
2020-01-10,1924508,300.27,296.68,297.24,297.24,300
2020-01-09,3064632,301.95,297.71,299.42,299.42,298.55
2020-01-08,2385621,295.48,290.55,294.69,294.69,290.99
2020-01-07,1611776,291.69,289.28,291.35,291.35,291.32
2020-01-06,1885294,292.05,288.622,291.81,291.81,290.55
2020-01-03,1526289,292.9,289.33,291.73,291.73,290.05
2020-01-02,1962741,294.58,291,291.49,291.49,294.06
